signal,width,TC,T0,T1,TX,Power_W,Energy_J,VDD_V,Ceff_F
tb.dut_aes.unit_decryption.add_round_key.i_expanded_key[127:0],128,1762724,0,0,0,5.07664512e-06,5.0766451200000004e-09,1.2,2e-15
tb.dut_aes.unit_decryption.round_expanded_key[127:0],128,1762724,0,0,0,5.07664512e-06,5.0766451200000004e-09,1.2,2e-15
tb.dut_aes.unit_decryption.add_round_key.state_out[127:0],128,1743756,0,0,0,5.02201728e-06,5.02201728e-09,1.2,2e-15
tb.dut_aes.unit_decryption.round_key_state_out[127:0],128,1743756,0,0,0,5.02201728e-06,5.02201728e-09,1.2,2e-15
tb.dut_aes.unit_decryption.add_round_key.o_state_out[127:0],128,1743756,0,0,0,5.02201728e-06,5.02201728e-09,1.2,2e-15
tb.dut_aes.unit_decryption.add_round_key.i_state_in[127:0],128,1653802,0,0,0,4.76294976e-06,4.76294976e-09,1.2,2e-15
tb.dut_aes.unit_decryption.round_key_state_in[127:0],128,1653802,0,0,0,4.76294976e-06,4.76294976e-09,1.2,2e-15
tb.dut_aes.unit_decryption.row_state_in[127:0],128,1502230,0,0,0,4.3264224e-06,4.3264224e-09,1.2,2e-15
tb.dut_aes.unit_decryption.row_state_out[127:0],128,1502230,0,0,0,4.3264224e-06,4.3264224e-09,1.2,2e-15
tb.dut_aes.unit_decryption.sbox.i_inv_byte_in[127:0],128,1502230,0,0,0,4.3264224e-06,4.3264224e-09,1.2,2e-15
tb.dut_aes.unit_decryption.shift_rows.i_inv_row_state_in[127:0],128,1502230,0,0,0,4.3264224e-06,4.3264224e-09,1.2,2e-15
tb.dut_aes.unit_decryption.shift_rows.o_inv_row_state_out[127:0],128,1502230,0,0,0,4.3264224e-06,4.3264224e-09,1.2,2e-15
tb.dut_aes.unit_decryption.byte_in[127:0],128,1502230,0,0,0,4.3264224e-06,4.3264224e-09,1.2,2e-15
tb.dut_aes.unit_decryption.sbox.o_inv_byte_out[127:0],128,1497456,0,0,0,4.31267328e-06,4.31267328e-09,1.2,2e-15
tb.dut_aes.unit_decryption.byte_out[127:0],128,1497456,0,0,0,4.31267328e-06,4.31267328e-09,1.2,2e-15
tb.dut_aes.unit_decryption.column_state_in[127:0],128,1393186,0,0,0,4.012375680000001e-06,4.012375680000001e-09,1.2,2e-15
tb.dut_aes.unit_decryption.move_columns.i_inv_column_state_in[127:0],128,1393186,0,0,0,4.012375680000001e-06,4.012375680000001e-09,1.2,2e-15
tb.dut_aes.unit_decryption.column_state_out[127:0],128,1350574,0,0,0,3.88965312e-06,3.88965312e-09,1.2,2e-15
tb.dut_aes.unit_decryption.move_columns.o_inv_column_state_out[127:0],128,1350574,0,0,0,3.88965312e-06,3.88965312e-09,1.2,2e-15
tb.dut_aes.unit_decryption.i_clk,1,200000,500000000000,500000000000,0,5.76e-07,5.76e-10,1.2,2e-15
tb.clk,1,200000,500000000000,500000000000,0,5.76e-07,5.76e-10,1.2,2e-15
tb.dut_aes.unit_encryption.i_clk,1,200000,500000000000,500000000000,0,5.76e-07,5.76e-10,1.2,2e-15
tb.dut_aes.i_clk,1,200000,500000000000,500000000000,0,5.76e-07,5.76e-10,1.2,2e-15
tb.dut_aes.unit_decryption.move_columns.r[7:0],8,104212,0,0,0,3.0013056000000005e-07,3.0013056000000004e-10,1.2,2e-15
tb.dut_aes.unit_decryption.move_columns.r_2[7:0],8,90025,0,0,0,2.5927199999999997e-07,2.59272e-10,1.2,2e-15
tb.dut_aes.unit_decryption.move_columns.r_1[7:0],8,85288,0,0,0,2.4562944e-07,2.4562944e-10,1.2,2e-15
tb.dut_aes.unit_decryption.move_columns.r_3[7:0],8,71096,0,0,0,2.0475648e-07,2.0475648e-10,1.2,2e-15
tb.dut_aes.unit_encryption.round_expanded_key[127:0],128,8521,0,0,0,2.4540479999999998e-08,2.454048e-11,1.2,2e-15
tb.dut_aes.unit_encryption.add_round_key.i_expanded_key[127:0],128,8521,0,0,0,2.4540479999999998e-08,2.454048e-11,1.2,2e-15
tb.dut_aes.unit_encryption.round_key_state_out[127:0],128,8112,0,0,0,2.336256e-08,2.3362560000000002e-11,1.2,2e-15
tb.dut_aes.unit_encryption.add_round_key.o_state_out[127:0],128,8112,0,0,0,2.336256e-08,2.3362560000000002e-11,1.2,2e-15
tb.dut_aes.unit_encryption.add_round_key.state_out[127:0],128,8112,0,0,0,2.336256e-08,2.3362560000000002e-11,1.2,2e-15
tb.dut_aes.unit_encryption.add_round_key.i_state_in[127:0],128,8105,0,0,0,2.33424e-08,2.33424e-11,1.2,2e-15
tb.dut_aes.unit_encryption.round_key_state_in[127:0],128,8105,0,0,0,2.33424e-08,2.33424e-11,1.2,2e-15
tb.dut_aes.unit_encryption.sbox.i_byte_in[127:0],128,7421,0,0,0,2.1372480000000002e-08,2.1372480000000003e-11,1.2,2e-15
tb.dut_aes.unit_encryption.byte_in[127:0],128,7421,0,0,0,2.1372480000000002e-08,2.1372480000000003e-11,1.2,2e-15
tb.dut_aes.unit_encryption.shift_rows.i_row_state_in[127:0],128,7265,0,0,0,2.09232e-08,2.09232e-11,1.2,2e-15
tb.dut_aes.unit_encryption.shift_rows.o_row_state_out[127:0],128,7265,0,0,0,2.09232e-08,2.09232e-11,1.2,2e-15
tb.dut_aes.unit_encryption.row_state_out[127:0],128,7265,0,0,0,2.09232e-08,2.09232e-11,1.2,2e-15
tb.dut_aes.unit_encryption.row_state_in[127:0],128,7265,0,0,0,2.09232e-08,2.09232e-11,1.2,2e-15
tb.dut_aes.unit_encryption.byte_out[127:0],128,7263,0,0,0,2.0917440000000003e-08,2.0917440000000003e-11,1.2,2e-15
tb.dut_aes.unit_encryption.sbox.o_byte_out[127:0],128,7263,0,0,0,2.0917440000000003e-08,2.0917440000000003e-11,1.2,2e-15
tb.dut_aes.unit_encryption.column_state_out[127:0],128,6717,0,0,0,1.9344960000000003e-08,1.934496e-11,1.2,2e-15
tb.dut_aes.unit_encryption.move_columns.o_column_state_out[127:0],128,6717,0,0,0,1.9344960000000003e-08,1.934496e-11,1.2,2e-15
tb.dut_aes.unit_encryption.move_columns.i_column_state_in[127:0],128,6589,0,0,0,1.897632e-08,1.897632e-11,1.2,2e-15
tb.dut_aes.unit_encryption.column_state_in[127:0],128,6589,0,0,0,1.897632e-08,1.897632e-11,1.2,2e-15
tb.dut_aes.unit_decryption.sync,1,4739,974265000000,25735000000,0,1.3648320000000002e-08,1.3648320000000002e-11,1.2,2e-15
tb.dut_aes.unit_encryption.key_expansion.o_expanded_key[1407:0],1408,2048,0,0,0,5.8982400000000005e-09,5.8982400000000005e-12,1.2,2e-15
tb.dut_aes.unit_encryption.expanded_key[1407:0],1408,2048,0,0,0,5.8982400000000005e-09,5.8982400000000005e-12,1.2,2e-15
tb.dut_aes.unit_decryption.key_expansion.o_expanded_key[1407:0],1408,1400,0,0,0,4.031999999999999e-09,4.032e-12,1.2,2e-15
tb.dut_aes.unit_decryption.expanded_key[1407:0],1408,1400,0,0,0,4.031999999999999e-09,4.032e-12,1.2,2e-15
tb.data_out[127:0],128,772,0,0,0,2.22336e-09,2.22336e-12,1.2,2e-15
tb.dut_aes.o_data_out[127:0],128,772,0,0,0,2.22336e-09,2.22336e-12,1.2,2e-15
tb.dut_aes.unit_encryption.move_columns.r[7:0],8,462,0,0,0,1.3305600000000002e-09,1.3305600000000001e-12,1.2,2e-15
tb.dut_aes.unit_encryption.move_columns.r_1[7:0],8,430,0,0,0,1.2384e-09,1.2384e-12,1.2,2e-15
tb.dut_aes.unit_encryption.move_columns.r_3[7:0],8,424,0,0,0,1.22112e-09,1.22112e-12,1.2,2e-15
tb.dut_aes.unit_encryption.move_columns.r_2[7:0],8,390,0,0,0,1.1232e-09,1.1232000000000001e-12,1.2,2e-15
tb.dut_aes.en_data_out[127:0],128,336,0,0,0,9.6768e-10,9.6768e-13,1.2,2e-15
tb.dut_aes.unit_encryption.o_data_out[127:0],128,336,0,0,0,9.6768e-10,9.6768e-13,1.2,2e-15
tb.dut_aes.unit_decryption.i_data_in[127:0],128,328,0,0,0,9.446400000000002e-10,9.446400000000001e-13,1.2,2e-15
tb.dut_aes.i_data_in[127:0],128,328,0,0,0,9.446400000000002e-10,9.446400000000001e-13,1.2,2e-15
tb.data_in[127:0],128,328,0,0,0,9.446400000000002e-10,9.446400000000001e-13,1.2,2e-15
tb.dut_aes.unit_encryption.i_data_in[127:0],128,328,0,0,0,9.446400000000002e-10,9.446400000000001e-13,1.2,2e-15
tb.dut_aes.unit_encryption.data_sync[127:0],128,266,0,0,0,7.6608e-10,7.6608e-13,1.2,2e-15
tb.dut_aes.unit_decryption.data_sync[127:0],128,256,0,0,0,7.372800000000001e-10,7.372800000000001e-13,1.2,2e-15
tb.dut_aes.de_data_out[127:0],128,256,0,0,0,7.372800000000001e-10,7.372800000000001e-13,1.2,2e-15
tb.dut_aes.unit_decryption.o_data_out[127:0],128,256,0,0,0,7.372800000000001e-10,7.372800000000001e-13,1.2,2e-15
tb.dut_aes.unit_encryption.key_expansion.i_key[127:0],128,158,0,0,0,4.5504000000000006e-10,4.5504e-13,1.2,2e-15
tb.dut_aes.unit_encryption.key_sync[127:0],128,158,0,0,0,4.5504000000000006e-10,4.5504e-13,1.2,2e-15
tb.dut_aes.unit_decryption.key_sync[127:0],128,128,0,0,0,3.6864000000000003e-10,3.6864000000000003e-13,1.2,2e-15
tb.dut_aes.unit_decryption.key_expansion.i_key[127:0],128,128,0,0,0,3.6864000000000003e-10,3.6864000000000003e-13,1.2,2e-15
tb.dut_aes.i_cipher_key[127:0],128,126,0,0,0,3.6288e-10,3.6288e-13,1.2,2e-15
tb.key_in[127:0],128,126,0,0,0,3.6288e-10,3.6288e-13,1.2,2e-15
tb.dut_aes.unit_decryption.i_cipher_key[127:0],128,126,0,0,0,3.6288e-10,3.6288e-13,1.2,2e-15
tb.dut_aes.unit_encryption.i_cipher_key[127:0],128,126,0,0,0,3.6288e-10,3.6288e-13,1.2,2e-15
tb.dut_aes.unit_encryption.sync,1,23,999865000000,135000000,0,6.624000000000001e-11,6.624e-14,1.2,2e-15
tb.dut_aes.en_start,1,4,995160000000,4840000000,0,1.1520000000000001e-11,1.1520000000000001e-14,1.2,2e-15
tb.dut_aes.unit_encryption.i_en_start,1,4,995160000000,4840000000,0,1.1520000000000001e-11,1.1520000000000001e-14,1.2,2e-15
tb.mode,1,3,4855000000,995145000000,0,8.64e-12,8.64e-15,1.2,2e-15
tb.dut_aes.i_mode,1,3,4855000000,995145000000,0,8.64e-12,8.64e-15,1.2,2e-15
tb.dut_aes.de_start,1,3,4855000000,995145000000,0,8.64e-12,8.64e-15,1.2,2e-15
tb.dut_aes.unit_decryption.i_de_start,1,3,4855000000,995145000000,0,8.64e-12,8.64e-15,1.2,2e-15
tb.rst,1,1,10000000,999990000000,0,2.8800000000000002e-12,2.8800000000000003e-15,1.2,2e-15
tb.dut_aes.unit_decryption.i_nrst_async,1,1,10000000,999990000000,0,2.8800000000000002e-12,2.8800000000000003e-15,1.2,2e-15
tb.dut_aes.i_nrst_async,1,1,10000000,999990000000,0,2.8800000000000002e-12,2.8800000000000003e-15,1.2,2e-15
tb.dut_aes.unit_encryption.i_nrst_async,1,1,10000000,999990000000,0,2.8800000000000002e-12,2.8800000000000003e-15,1.2,2e-15
